OG_ID	gene_name	short_gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Kidney	de_Kidney
OG_0006121	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006162	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006193	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006233	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006257	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006279	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006359	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006366	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006383	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006420	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006467	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006509	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006531	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006543	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006561	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006569	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006625	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006633	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006658	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006683	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006700	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006703	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006710	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006728	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006743	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0006748	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006759	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0006782	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006815	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006819	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006821	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006835	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006861	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006917	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006925	NA	NA	FALSE	0	0	FALSE	TRUE	1
