"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Kidney","OG_0003742",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","PPID","taeGut_geneID"
"Kidney","OG_0003755",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","VPS33A","taeGut_geneID"
"Kidney","OG_0003756",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","VPS33B","taeGut_geneID"
"Kidney","OG_0003764",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","Etv5","parsed_from_gene_id"
"Kidney","OG_0003772",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","TRAF5","taeGut_geneID"
"Kidney","OG_0003800",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","MFN1","taeGut_geneID"
"Kidney","OG_0003806",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","SLC30A1","taeGut_geneID"
"Kidney","OG_0003830",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","SELENOI","taeGut_geneID"
"Kidney","OG_0003835",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","BCO1","taeGut_geneID"
"Kidney","OG_0003871",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ELF1","taeGut_geneID"
"Kidney","OG_0003887",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","LOC100231559","taeGut_geneID"
"Kidney","OG_0003901",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","IKBKB","galGal_geneID"
"Kidney","OG_0003909",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","SNX33","parsed_from_gene_id"
"Kidney","OG_0003913",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","MTHFD1","taeGut_geneID"
"Kidney","OG_0003932",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","PANK3","taeGut_geneID"
"Kidney","OG_0003943",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ERRFI1","taeGut_geneID"
"Kidney","OG_0003967",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","LOC100219837","taeGut_geneID"
"Kidney","OG_0003999",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","LTA4H","taeGut_geneID"
"Kidney","OG_0004019",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","LRRN1","parsed_from_gene_id"
"Kidney","OG_0004024",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","RBM15B","taeGut_geneID"
"Kidney","OG_0004095",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","DUSP1","taeGut_geneID"
"Kidney","OG_0004109",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","KDM1A","taeGut_geneID"
"Kidney","OG_0004116",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","TM9SF2","taeGut_geneID"
"Kidney","OG_0004130",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ACAA2","taeGut_geneID"
"Kidney","OG_0004134",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ACAT2","taeGut_geneID"
"Kidney","OG_0004144",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","POLK","taeGut_geneID"
"Kidney","OG_0004153",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","PCDH17","taeGut_geneID"
"Kidney","OG_0004158",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","BMP7","taeGut_geneID"
"Kidney","OG_0004171",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","CMTM4","taeGut_geneID"
"Kidney","OG_0004229",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","WDR11","taeGut_geneID"
"Kidney","OG_0004232",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","FASN","taeGut_geneID"
"Kidney","OG_0004254",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","APOB","parsed_from_gene_id"
"Kidney","OG_0004256",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","GAREM1","taeGut_geneID"
"Kidney","OG_0004295",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","CANX","taeGut_geneID"
"Kidney","OG_0004303",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","FECH","galGal_geneID"
"Kidney","OG_0004326",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","CTSD","taeGut_geneID"
"Kidney","OG_0004382",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","STK39","galGal_geneID"
"Kidney","OG_0004384",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","HADHA","taeGut_geneID"
"Kidney","OG_0004407",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","PDK1","galGal_geneID"
"Kidney","OG_0004411",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","PDK4","taeGut_geneID"
"Kidney","OG_0004424",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","KBTBD11","taeGut_geneID"
"Kidney","OG_0004459",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","RNH1","taeGut_geneID"
"Kidney","OG_0004465",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","STON2","taeGut_geneID"
"Kidney","OG_0004496",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","SERINC1","taeGut_geneID"
"Kidney","OG_0004554",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","TNPO3","taeGut_geneID"
"Kidney","OG_0004576",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","SGCD","parsed_from_gene_id"
"Kidney","OG_0004582",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","XRCC5","taeGut_geneID"
"Kidney","OG_0004597",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ACLY","taeGut_geneID"
"Kidney","OG_0004611",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","RSBN1L","taeGut_geneID"
"Kidney","OG_0004612",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","DDX4","taeGut_geneID"
"Kidney","OG_0004656",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","PEX6","galGal_geneID"
"Kidney","OG_0004657",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","LOC100222166","taeGut_geneID"
"Kidney","OG_0004676",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","STT3A","taeGut_geneID"
"Kidney","OG_0004678",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","PGM2L1","taeGut_geneID"
"Kidney","OG_0004713",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","GGT5","taeGut_geneID"
"Kidney","OG_0004785",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","GSR","taeGut_geneID"
"Kidney","OG_0004795",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","KIF5B","taeGut_geneID"
"Kidney","OG_0004882",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","LOC100227392","taeGut_geneID"
"Kidney","OG_0004888",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","stringtie_mRNA_42881","parsed_from_gene_id"
"Kidney","OG_0004891",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","LOC100220322","taeGut_geneID"
"Kidney","OG_0004892",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","LOC420808","galGal_geneID"
"Kidney","OG_0004999",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","PDCD11","taeGut_geneID"
"Kidney","OG_0005027",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","SH3RF1","taeGut_geneID"
"Kidney","OG_0005092",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","JUP","taeGut_geneID"
"Kidney","OG_0005094",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","stringtie_mRNA_56173","parsed_from_gene_id"
"Kidney","OG_0005100",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","MPPED2","taeGut_geneID"
"Kidney","OG_0005119",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","PRKDC","parsed_from_gene_id"
"Kidney","OG_0005135",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","TOR1AIP2","taeGut_geneID"
"Kidney","OG_0005153",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","LOC100219184","taeGut_geneID"
"Kidney","OG_0005159",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","ZBTB47","taeGut_geneID"
"Kidney","OG_0005192",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","GOLGA3","taeGut_geneID"
"Kidney","OG_0005237",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","LOC100225021","taeGut_geneID"
"Kidney","OG_0005310",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","ENPP6","taeGut_geneID"
"Kidney","OG_0005312",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ENPP4","taeGut_geneID"
"Kidney","OG_0005316",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ME2","taeGut_geneID"
"Kidney","OG_0005317",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ME1","taeGut_geneID"
"Kidney","OG_0005376",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","VAT1","taeGut_geneID"
"Kidney","OG_0005403",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","KIAA1549","parsed_from_gene_id"
"Kidney","OG_0005404",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","FAM110D","taeGut_geneID"
"Kidney","OG_0005408",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","ZNF106","taeGut_geneID"
"Kidney","OG_0005429",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","LRRC4B","taeGut_geneID"
"Kidney","OG_0005447",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","PTPN21","taeGut_geneID"
"Kidney","OG_0005465",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","LOC100231240","taeGut_geneID"
"Kidney","OG_0005490",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","PNPLA8","taeGut_geneID"
