OG	sakCan01_Brain	sakCan01_Heart	sakCan01_Kidney	sakCan01_Liver	sakCan01_Muscle	sakCan02_Brain	sakCan02_Kidney	sakCan02_Liver	sakCan02_Muscle	sakCan03_Brain	sakCan03_Heart	sakCan03_Kidney	sakCan03_Liver	sakCan03_Muscle	sakCan04_Heart
OG_0028887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	33.807	0.0	84.936
OG_0028890	62.504	25.781	330.731	0.0	20.521	37.266	0.0	0.0	14.533	0.0	43.978	329.221	0.0	0.0	51.637
OG_0028892	6.839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.342	0.0	0.0	0.0	0.0	0.0
OG_0028893	17063.713	47.0	55.512	226.0	103.664	10359.0	69.0	511.0	61.0	10619.0	73.0	27.0	209.0	6.0	28.0
OG_0028894	329.264	194.182	292.374	104.433	106.637	0.0	0.0	0.0	486.30100000000004	0.0	0.0	0.0	124.808	253.164	420.863
OG_0028895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.186	0.0	0.0	30.384	0.0	0.0
OG_0028901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028902	527.997	1.981	0.0	2.043	16.543	0.0	0.0	0.0	0.0	237.764	0.0	0.0	0.0	4.75	0.0
OG_0028912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028915	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	4.0	10.0	0.0	0.0	2.0
OG_0028916	21.247	16.953	0.0	0.0	0.0	60.796	0.0	0.0	47.046	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028917	194.763	366.421	969.037	1349.789	239.843	114.123	1000.892	2070.596	161.362	204.498	423.084	1006.311	1357.334	207.424	449.788
OG_0028920	0.0	0.0	0.0	25.478	0.0	0.0	37.312	443.724	0.0	64.543	129.587	54.868	91.499	0.0	0.0
OG_0028928	0.0	0.0	65.573	298.0	0.0	0.0	0.0	296.099	0.0	0.0	453.869	540.649	0.0	0.0	476.153
OG_0028929	0.0	0.0	0.0	168.897	157.016	0.0	0.0	300.894	203.75	182.912	229.471	287.301	0.0	110.677	0.0
