OG	thaBer01_Brain	thaBer01_Heart	thaBer01_Liver	thaBer01_Muscle	thaBer02_Brain	thaBer02_Heart	thaBer02_Liver	thaBer02_Muscle	thaBer03_Brain	thaBer03_Heart	thaBer03_Liver	thaBer03_Muscle
OG_0024901	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024990	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024992	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0
OG_0024995	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024996	0.0	0.0	0.0	0.0	0.0	5.838	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0024998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025001	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025013	0.0	1.0	39.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	27.0	0.0
OG_0025014	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025016	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025017	483.356	0.0	0.0	0.0	1722.906	0.0	0.0	0.0	1283.086	0.0	88.146	0.0
OG_0025018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025019	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025020	1.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	2.0	1.0	1.058	0.0
OG_0025021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025023	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0
OG_0025024	36.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0
OG_0025026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025027	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025031	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025032	3.0	0.5	0.0	0.5	0.0	1.0	0.0	0.5	0.0	3.0	0.0	0.5
OG_0025034	0.0	0.0	0.0	10.823	0.0	0.0	0.0	25.533	0.0	0.0	0.0	27.054
OG_0025035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025036	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OG_0025037	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OG_0025040	0.0	0.5	0.0	0.0	0.0	0.5	1.5	1.0	0.0	1.0	1.0	0.0
OG_0025042	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OG_0025045	8.708	60.177	13.681	31.815	37.191	69.384	19.25	14.328	10.729	69.644	21.302	23.665
OG_0025046	51.804	94.387	26.346	83.323	63.351	52.537	49.264	52.284	79.54	69.703	31.247	43.458
OG_0025051	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
OG_0025055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025056	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0
OG_0025057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025065	331.0	278.0	185.0	247.0	511.0	549.0	274.0	202.0	491.0	586.0	300.0	334.0
OG_0025066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.614	0.0	0.0	0.0	1.679
OG_0025072	95.313	200.299	80.286	150.377	235.069	127.627	193.437	292.913	173.464	201.534	220.061	189.638
OG_0025073	411.0	269.0	112.0	129.0	590.0	118.0	156.0	45.0	631.0	182.0	233.0	52.0
OG_0025081	1628.0	266.0	714.0	276.0	3107.0	613.0	1242.0	186.0	2789.0	479.0	1402.0	130.0
OG_0025220	357.011	679.485	830.682	444.495	641.879	138.413	1166.728	494.312	790.005	1943.133	228.053	1170.76
OG_0025237	0.0	0.0	0.0	0.0	1.0	19.263	0.259	0.0	0.25	0.0	0.0	0.0
OG_0025317	0.0	0.5	0.0	9.0	0.0	0.0	0.0	16.0	1198.266	0.0	0.0	1.0
OG_0025425	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0
OG_0025549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OG_0025552	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0
