"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Brain","OG_0004320",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TRIOBP","taeGut_geneID"
"Brain","OG_0004326",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","CTSD","taeGut_geneID"
"Brain","OG_0004410",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDK3","taeGut_geneID"
"Brain","OG_0004411",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","PDK4","taeGut_geneID"
"Brain","OG_0004426",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PLAGL2","taeGut_geneID"
"Brain","OG_0004459",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RNH1","taeGut_geneID"
"Brain","OG_0004489",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","RUNDC3B","taeGut_geneID"
"Brain","OG_0004495",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SERINC3","taeGut_geneID"
"Brain","OG_0004597",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ACLY","taeGut_geneID"
"Brain","OG_0004611",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RSBN1L","taeGut_geneID"
"Brain","OG_0004630",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","HMGXB3","taeGut_geneID"
"Brain","OG_0004676",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","STT3A","taeGut_geneID"
"Brain","OG_0004715",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","BEND3","taeGut_geneID"
"Brain","OG_0004732",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SPATS2L","taeGut_geneID"
"Brain","OG_0004754",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ELL1","parsed_from_gene_id"
"Brain","OG_0004787",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TXNRD3","taeGut_geneID"
"Brain","OG_0004802",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PCGF3","taeGut_geneID"
"Brain","OG_0004835",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","ARHGEF26","taeGut_geneID"
"Brain","OG_0004842",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BACH2","taeGut_geneID"
"Brain","OG_0004977",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","YTHDF1","taeGut_geneID"
"Brain","OG_0005088",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ERLIN2","taeGut_geneID"
"Brain","OG_0005095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CSE1L","taeGut_geneID"
"Brain","OG_0005192",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GOLGA3","taeGut_geneID"
"Brain","OG_0005220",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NEFM","taeGut_geneID"
"Brain","OG_0005263",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CNTNAP1","taeGut_geneID"
"Brain","OG_0005283",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TDRD7","taeGut_geneID"
"Brain","OG_0005334",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ST6GALNAC6","taeGut_geneID"
"Brain","OG_0005366",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BTBD7","taeGut_geneID"
"Brain","OG_0005406",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FAM110B","taeGut_geneID"
"Brain","OG_0005429",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","LRRC4B","taeGut_geneID"
"Brain","OG_0005541",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RIC8A","taeGut_geneID"
